category,anomaly_type,num_images,dice_anomaly_mean,dice_anomaly_std,dice_sam_mean,dice_sam_std,recall_anom_mean,recall_anom_std,recall_sam_mean,recall_sam_std,anom_score_mean_mean,anom_score_mean_std,anom_score_max_mean,anom_score_max_std,anom_score_percentile_mean,anom_score_percentile_std
bottle,broken_large,20,0.68431,0.19273,0.54362,0.20959,0.59656,0.23153,0.72458,0.34118,0.04873,0.02057,0.21038,0.04483,0.11840,0.03768
bottle,broken_small,22,0.66728,0.14587,0.63189,0.20470,0.58653,0.22434,0.81227,0.28171,0.02098,0.00669,0.20874,0.07017,0.04618,0.02232
bottle,contamination,21,0.73126,0.19000,0.60108,0.31457,0.74021,0.19928,0.70937,0.37218,0.03770,0.01855,0.21187,0.11941,0.12924,0.08815
bottle,good,20,,,,,,,,,0.00695,0.00136,0.02322,0.01323,0.01298,0.00270
cable,bent_wire,13,0.68434,0.07764,0.56492,0.14699,0.76907,0.16062,0.88574,0.24076,0.06050,0.01301,0.30355,0.08706,0.15195,0.05932
cable,cable_swap,12,0.74392,0.06798,0.65175,0.15468,0.88035,0.12862,0.90046,0.23918,0.04662,0.00340,0.12265,0.01927,0.08291,0.00952
cable,combined,11,0.62966,0.13077,0.47647,0.24135,0.55958,0.15443,0.51021,0.28092,0.07196,0.02311,0.30584,0.09866,0.16420,0.07335
cable,cut_inner_insulation,14,0.57925,0.12786,0.37494,0.18344,0.77786,0.19641,0.78670,0.33254,0.04977,0.00624,0.17349,0.04676,0.10004,0.01882
cable,cut_outer_insulation,10,0.45731,0.15869,0.37074,0.16017,0.79818,0.18711,0.75299,0.25453,0.05010,0.00411,0.15373,0.03254,0.07870,0.01244
cable,good,58,,,,,,,,,0.04107,0.00491,0.08677,0.01999,0.05808,0.00776
cable,missing_cable,12,0.87345,0.03990,0.86664,0.14751,0.78795,0.07354,0.87683,0.19378,0.10074,0.04055,0.43475,0.04825,0.29508,0.08494
cable,missing_wire,10,0.71368,0.08097,0.51598,0.10344,0.99042,0.02081,0.99859,0.00316,0.05000,0.00694,0.19177,0.03535,0.09486,0.02278
cable,poke_insulation,10,0.64786,0.24877,0.61225,0.25975,0.80401,0.09301,0.82975,0.29021,0.04850,0.00569,0.14165,0.02563,0.07261,0.01220
capsule,crack,23,0.35243,0.22880,0.24898,0.16986,0.77724,0.27315,0.78398,0.35261,0.01746,0.00857,0.10950,0.06762,0.03404,0.02627
capsule,faulty_imprint,22,0.38782,0.21070,0.27471,0.19627,0.86069,0.21739,0.92976,0.21654,0.01384,0.00257,0.06982,0.02229,0.02509,0.00689
capsule,good,23,,,,,,,,,0.01088,0.00131,0.03864,0.01384,0.01819,0.00336
capsule,poke,21,0.35616,0.17570,0.24951,0.13637,0.90162,0.13021,0.91971,0.22274,0.01570,0.00390,0.09374,0.04382,0.02795,0.00806
capsule,scratch,23,0.47421,0.24131,0.37691,0.20276,0.64789,0.22684,0.90831,0.12856,0.01328,0.00204,0.08051,0.02998,0.02380,0.00499
capsule,squeeze,20,0.47024,0.16344,0.37036,0.23960,0.65253,0.24749,0.78056,0.32256,0.03406,0.01713,0.15347,0.06558,0.08249,0.05104
carpet,color,19,0.65441,0.14220,0.51512,0.17394,0.97164,0.05210,0.90730,0.24572,0.05640,0.02406,0.19208,0.06846,0.09921,0.06522
carpet,cut,17,0.77559,0.10436,0.70249,0.20908,0.71197,0.18101,0.65526,0.26768,0.07773,0.02121,0.25861,0.08113,0.13207,0.04287
carpet,good,28,,,,,,,,,0.02341,0.00511,0.03822,0.00740,0.02769,0.00619
carpet,hole,17,0.77935,0.06844,0.62582,0.22926,0.81041,0.14370,0.61496,0.29809,0.06801,0.01809,0.24034,0.07732,0.10259,0.03377
carpet,metal_contamination,17,0.50192,0.06792,0.33888,0.08975,0.97503,0.02639,0.99459,0.01906,0.04400,0.01476,0.17610,0.05719,0.05996,0.02538
carpet,thread,19,0.41371,0.14088,0.29193,0.15470,0.87690,0.16127,0.87799,0.25525,0.06524,0.02621,0.19367,0.06926,0.09911,0.04571
grid,bent,12,0.43734,0.12585,0.22444,0.09759,0.80915,0.20814,0.79507,0.24761,0.04368,0.00717,0.15801,0.03234,0.07213,0.02026
grid,broken,12,0.33370,0.09430,0.14088,0.05679,0.93006,0.08102,0.69070,0.26248,0.05090,0.00840,0.18128,0.02480,0.08689,0.02158
grid,glue,11,0.43881,0.22853,0.30008,0.19746,0.97520,0.03418,0.75516,0.40417,0.04566,0.01727,0.14440,0.06182,0.06507,0.02839
grid,good,21,,,,,,,,,0.03176,0.00720,0.05966,0.01399,0.04276,0.01012
grid,metal_contamination,11,0.35670,0.13000,0.23664,0.08772,0.99625,0.00621,0.99957,0.00135,0.05399,0.01373,0.23483,0.06362,0.08516,0.03342
grid,thread,11,0.44223,0.16235,0.33658,0.14316,0.86696,0.11027,0.87800,0.09641,0.06626,0.02083,0.21227,0.12607,0.11921,0.05196
hazelnut,crack,18,0.70058,0.20265,0.51688,0.23266,0.93230,0.06881,0.98507,0.02657,0.07875,0.03076,0.24366,0.06584,0.17389,0.07375
hazelnut,cut,17,0.42886,0.14455,0.32887,0.11273,0.93961,0.06694,0.90067,0.20921,0.05018,0.00732,0.18232,0.03258,0.09029,0.02144
hazelnut,good,40,,,,,,,,,0.04077,0.00487,0.10049,0.02820,0.07151,0.00866
hazelnut,hole,18,0.69629,0.09991,0.52584,0.12157,0.90203,0.11116,0.93098,0.08624,0.05444,0.00591,0.26261,0.03691,0.09874,0.01280
hazelnut,print,17,0.68798,0.16071,0.57138,0.15226,0.82322,0.09351,0.86479,0.25994,0.05416,0.00877,0.25567,0.09828,0.11242,0.02605
leather,color,19,0.41672,0.14157,0.26571,0.14023,0.98387,0.03053,0.99766,0.00684,0.04521,0.01009,0.17595,0.04618,0.05915,0.01694
leather,cut,19,0.25857,0.17390,0.31304,0.15528,0.97110,0.07816,0.78924,0.27535,0.07524,0.02087,0.22848,0.07386,0.12415,0.03925
leather,fold,17,0.47013,0.17352,0.39534,0.18770,0.99438,0.01138,0.86314,0.30945,0.07437,0.01702,0.21084,0.04020,0.14303,0.03420
leather,glue,19,0.58933,0.18112,0.44544,0.19074,0.99543,0.01183,0.98913,0.02993,0.07819,0.02173,0.32179,0.10425,0.11552,0.04220
leather,good,32,,,,,,,,,0.01734,0.00297,0.03144,0.01492,0.02085,0.00329
leather,poke,18,0.10273,0.05139,0.34195,0.21895,1.00000,0.00000,0.82135,0.29902,0.09394,0.01837,0.26403,0.03809,0.16662,0.03677
metal_nut,bent,25,0.67431,0.15094,0.45882,0.22528,0.72217,0.21443,0.73555,0.37914,0.02690,0.00399,0.17472,0.06431,0.04971,0.01955
metal_nut,color,22,0.56397,0.26615,0.42740,0.25173,0.65219,0.30407,0.75919,0.35647,0.02409,0.00457,0.13411,0.06149,0.04498,0.01938
metal_nut,flip,23,0.81672,0.02833,0.84736,0.02631,0.76390,0.05236,0.93250,0.02841,0.06630,0.00379,0.12897,0.00662,0.10361,0.00507
metal_nut,good,22,,,,,,,,,0.01935,0.00269,0.04488,0.01034,0.02981,0.00488
metal_nut,scratch,23,0.71159,0.08198,0.62838,0.12394,0.69910,0.14029,0.81107,0.20398,0.03182,0.00718,0.13315,0.03379,0.07203,0.02241
pill,color,25,0.30933,0.20854,0.21698,0.13192,0.88253,0.10749,0.92545,0.22324,0.02179,0.00229,0.09295,0.03712,0.03212,0.00400
pill,combined,17,0.55297,0.14935,0.39112,0.12527,0.65213,0.17668,0.73656,0.24533,0.03224,0.00578,0.13492,0.04040,0.05615,0.01564
pill,contamination,21,0.68352,0.16394,0.48799,0.15416,0.85920,0.17331,0.90547,0.24467,0.02843,0.00549,0.17215,0.07672,0.04783,0.01174
pill,crack,26,0.47080,0.19538,0.32417,0.19624,0.79260,0.13366,0.82207,0.31597,0.02204,0.00379,0.08796,0.02923,0.03548,0.00765
pill,faulty_imprint,19,0.61003,0.18490,0.51099,0.20748,0.72636,0.22427,0.77357,0.28245,0.02615,0.00433,0.09898,0.02187,0.04759,0.01149
pill,good,26,,,,,,,,,0.01829,0.00272,0.04610,0.01264,0.02735,0.00433
pill,pill_type,9,0.51749,0.26273,0.47363,0.35706,0.39505,0.26144,0.38732,0.32927,0.07443,0.03178,0.19273,0.04621,0.13214,0.04469
pill,scratch,24,0.62285,0.15311,0.48629,0.26254,0.76417,0.19512,0.84157,0.31342,0.02484,0.00441,0.12036,0.02925,0.04408,0.01455
screw,good,41,,,,,,,,,0.02367,0.00482,0.06349,0.02124,0.03621,0.00725
screw,manipulated_front,24,0.14849,0.14596,0.13317,0.16866,0.62501,0.34707,0.65362,0.41794,0.02874,0.00476,0.08942,0.03615,0.04298,0.00910
screw,scratch_head,24,0.09288,0.07706,0.05798,0.10183,0.69173,0.40074,0.62631,0.45489,0.02708,0.00495,0.07219,0.01344,0.04150,0.00798
screw,scratch_neck,25,0.38570,0.21798,0.25976,0.12926,0.83118,0.23265,0.88872,0.28201,0.02649,0.00391,0.10284,0.03430,0.03989,0.00599
screw,thread_side,23,0.02613,0.03647,0.02636,0.05157,0.21580,0.26426,0.38944,0.43019,0.02587,0.00402,0.07055,0.01740,0.03840,0.00621
screw,thread_top,23,0.22946,0.21165,0.18034,0.18394,0.58591,0.37304,0.69301,0.43756,0.02833,0.00441,0.08463,0.02404,0.04243,0.00732
tile,crack,17,0.41174,0.12532,0.26148,0.06405,0.86642,0.08076,0.83130,0.22817,0.11893,0.02770,0.29068,0.04282,0.19997,0.04019
tile,glue_strip,18,0.88089,0.05350,0.80039,0.09057,0.90133,0.09720,0.99807,0.00451,0.12284,0.03631,0.39810,0.08666,0.28412,0.08299
tile,good,33,,,,,,,,,0.02751,0.00340,0.05063,0.01238,0.03378,0.00414
tile,gray_stroke,16,0.78656,0.07019,0.54334,0.25692,0.92696,0.09940,0.78988,0.37501,0.05956,0.01501,0.17174,0.04527,0.11392,0.04413
tile,oil,18,0.89848,0.04092,0.86817,0.18089,0.85434,0.07826,0.91317,0.20727,0.12780,0.01552,0.32316,0.04265,0.26443,0.03267
tile,rough,15,0.73354,0.18657,0.67737,0.27457,0.64033,0.20359,0.66928,0.32627,0.07002,0.03060,0.16953,0.05907,0.13228,0.06552
toothbrush,defective,30,0.49083,0.18617,0.38696,0.22335,0.70302,0.15916,0.75382,0.29569,0.04088,0.02082,0.23648,0.09844,0.09636,0.06244
toothbrush,good,12,,,,,,,,,0.01918,0.00352,0.06212,0.01639,0.03440,0.00513
transistor,bent_lead,10,0.37915,0.15654,0.27141,0.20170,0.41496,0.21140,0.41224,0.33812,0.03497,0.00444,0.21034,0.06179,0.05722,0.01334
transistor,cut_lead,10,0.41589,0.16047,0.45150,0.19831,0.38848,0.12573,0.57653,0.21012,0.03290,0.00601,0.16810,0.04926,0.05703,0.02116
transistor,damaged_case,10,0.69555,0.13068,0.54862,0.16939,0.78728,0.15431,0.83138,0.30618,0.03624,0.00873,0.16895,0.05237,0.08007,0.03474
transistor,good,60,,,,,,,,,0.02602,0.00297,0.06582,0.02355,0.03910,0.00648
transistor,misplaced,10,0.41294,0.20398,0.57842,0.21962,0.28402,0.16146,0.46547,0.21995,0.10519,0.03827,0.37346,0.06820,0.26867,0.08914
wood,color,8,0.68179,0.12960,0.45996,0.17778,0.79031,0.13031,0.75196,0.25703,0.08503,0.02030,0.22326,0.04488,0.12811,0.03878
wood,combined,11,0.61099,0.21614,0.47315,0.25891,0.72524,0.19854,0.63395,0.26478,0.12002,0.01752,0.25286,0.05764,0.17182,0.03221
wood,good,19,,,,,,,,,0.06434,0.01467,0.09921,0.02584,0.07709,0.02023
wood,hole,10,0.40159,0.17958,0.22695,0.11701,0.93503,0.10918,0.87324,0.23032,0.09432,0.02028,0.19458,0.05305,0.12212,0.03032
wood,liquid,10,0.85696,0.05789,0.70084,0.13184,0.83541,0.09480,0.95516,0.07274,0.11123,0.01761,0.35187,0.06116,0.20542,0.04693
wood,scratch,21,0.59309,0.18191,0.46391,0.23877,0.76511,0.18851,0.83724,0.24374,0.09390,0.02863,0.21088,0.05991,0.14525,0.05148
zipper,broken_teeth,19,0.41396,0.25324,0.40053,0.24089,0.53744,0.29191,0.61900,0.38138,0.03014,0.00866,0.10074,0.03619,0.04369,0.01610
zipper,combined,16,0.42478,0.17637,0.35527,0.18701,0.43257,0.22147,0.45662,0.28258,0.04168,0.01100,0.13938,0.04261,0.06761,0.02102
zipper,fabric_border,17,0.55798,0.13977,0.34316,0.16733,0.82461,0.20356,0.78907,0.33570,0.04929,0.00959,0.19223,0.04744,0.08566,0.02149
zipper,fabric_interior,16,0.57360,0.18273,0.43206,0.17307,0.85399,0.14332,0.88697,0.15805,0.03156,0.00753,0.12008,0.02921,0.05626,0.01955
zipper,good,32,,,,,,,,,0.01800,0.00420,0.05577,0.01829,0.02458,0.00610
zipper,rough,17,0.29649,0.14119,0.39114,0.20193,0.29957,0.12113,0.47039,0.22370,0.03374,0.00781,0.09394,0.02069,0.05096,0.01294
zipper,split_teeth,18,0.45019,0.16367,0.32399,0.17905,0.66937,0.22705,0.54597,0.32970,0.03567,0.00682,0.09020,0.02567,0.05262,0.01226
zipper,squeezed_teeth,16,0.17392,0.18669,0.21094,0.25712,0.31414,0.26697,0.43706,0.39042,0.03155,0.00796,0.08112,0.02222,0.04386,0.01289
